Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Afra02,Afra m. Brixiae,femme,laïc,séculier,Afra matrona m. Brixiae,"['BHL 0117 | Passio', 'BHL Afra02 |']",['Afra (67)'],
Agabius01,Agabius propheta,homme,laïc,séculier,Agabius propheta,['BHL Agabius01 |'],['Agabius (3809)'],
Agabius02,Agabius ep. Novariensis,homme,ecclésiastique,séculier,Agabius ep. Novariensis,"['BHL 0117m | Gesta', 'BHL 0117n | Gesta. Om. prol., inc. ""Gratia Christi requievit in b. A.""', 'BHL 0117p | Gesta retractata', 'BHL Agabius02 |']",['Agabius (3345)'],
Agape,Agape et soc. m. Thessalonicae,femme,laïc,séculier,"Agape, Chiona et Irene v. m. Thessalonicae","['BHL 0118 | Passio', 'BHL 0119 | Carmen', 'BHL 0120 | Comoedia ""Dulcitius"" auct. Hrotsuita', 'BHL Agape |']","['Agape (68)', 'Chiona (667)', 'Irene (1695)']",
Agapetus01,Agapetus I p.,homme,ecclésiastique,séculier,Agapetus I p.,"['BHL 0121 | Vita', 'BHL 0122 | Vita', 'BHL 0123 | Iter Cptanum et obitus', 'BHL 0124 | Miraculum', 'BHL Agapetus01 |']",['Agapetus (69)'],
Agapetus02,Agapetus m. Praeneste,homme,ecclésiastique,séculier,Agapetus m. Praeneste,"['BHL 0125 | Passio', 'BHL 0125b | Alia initia eiusdem passionis', 'BHL 0125c | Alia initia eiusdem Passionis. b', 'BHL 0125d | Alia initia eiusdem Passionis. g', 'BHL 0125e | Alia initia eiusdem Passionis. d', 'BHL 0126 | Passio', 'BHL 0127 | Passio', 'BHL 0128 | Passio adscripta Bernardo Cremifanensi', 'BHL 0129 | Translatio capitis Vesuntionem saec. XI', 'BHL Agapetus02 |']",['Agapetus (70)'],
Agapitus,Agapitus ep. Ravennas,homme,ecclésiastique,séculier,Agapitus ep. Ravennas,"['BHL 0130 | Vita (in Agnelli Lib. pont. eccl. Ravenn., episc IX)', 'BHL Agapitus |']",['Agapitus (71)'],
Agapius,Agapius et soc. m. in Numidia,homme,ecclésiastique,séculier,"Agapius, Secundinus, Marianus, Iacobus et soc. m. in Numidia","['BHL 0131 | Passio', 'BHL 0132 | Epitomae', 'BHL 0132d | Historia passionis', 'BHL 0132g | Historia B. Agapiti', 'BHL Agapius |']","['Agapius (73)', 'Iacobus (1573)', 'Marianus (2054)', 'Secundinus (2782)']",
Agatha01,Agatha m. Catanae,femme,laïc,séculier,Agatha v. m. Catanae,"['BHL 0133 | Passio', 'BHL 0134 | Passio', 'BHL 0135 | Passio', 'BHL 0136 | Passio', 'BHL 0136a | Alia initia eiusdem Passionis. d', 'BHL 0136b | Alia initia eiusdem Passionis. e', 'BHL 0136c | Alia initia eiusdem Passionis. z', 'BHL 0136d | Alia initia eiusdem Passionis. ê', 'BHL 0136e | Alia initia eiusdem Passionis. th', 'BHL 0136f | Alia initia eiusdem Passionis. i', 'BHL 0136g | Alia initia eiusdem Passionis. k', 'BHL 0137 | Carmen auct. Adhelmo', 'BHL 0138 | Passio metrica auct. Baptista Mantuano (Parthenices pars III, 2)', 'BHL 0138d | Nativitas (narratio antiqua?)', 'BHL 0138f | Vita auct. Iohanne Garzone', 'BHL 0139 | Translatio Cpoli Catanam et miracula, auct. Mauritio ep.', 'BHL 0140 | Miracula auct. Blandino mon.', 'BHL Agatha01 |']",['Agatha (74)'],
Agatha02,Agatha monialis in Himmelspforten,femme,laïc,régulier,Agatha monialis in Himmelspforten,"['BHL 0140m | Vita', 'BHL Agatha02 |']",['Agatha (3346)'],
Agatho01,Agatho p.,homme,ecclésiastique,séculier,Agatho p.,"['BHL 0141 | Vita', 'BHL Agatho01 |']",['Agatho (75)'],
Agatho02,Agatho ab. in deserto Scete,homme,ecclésiastique,régulier,Agatho ab. in deserto Scete,['BHL Agatho02 |'],['Agatho (76)'],
Agaunenses,Agaunenses ab.,homme,ecclésiastique,régulier,"Agaunenses ab. (Hymnemodus, Ambrosius, Achivus, Tranquillus)","['BHL 0142 | Vita', 'BHL Agaunenses |']","['Achivus (27)', 'Ambrosius (181)', 'Hymnemodus (1570)', 'Tranquillus (3067)']",
Agericus,Agericus ep. Virodunensis,homme,ecclésiastique,séculier,Agericus ep. Virodunensis,"['BHL 0143 | Vita auct. Stephano ab. (?)', 'BHL 0143a | Vita. Alium initium', 'BHL 0144 | Vita', 'BHL 0144d | Epitome', 'BHL Agericus |']",['Agericus (77)'],
Agilolfus,Agilolfus ep. Coloniae Agrippinae,homme,ecclésiastique,séculier,Agilolfus ep. m. Coloniae Agrippinae,"['BHL 0145 | Passio', 'BHL 0146 | Passio (epitome)', 'BHL Agilolfus |']",['Agilolfus (78)'],
Agilus01,Agilus vicecomes Aurelianensis,homme,laïc,séculier,Agilus vicecomes Aurelianensis,"['BHL 0147 | Vita', 'BHL Agilus01 |']",['Agilus (79)'],
Agilus02,Agilus ab. Resbacensis,homme,ecclésiastique,régulier,Agilus ab. Resbacensis,"['BHL 0148 | Vita', 'BHL 0149 | Miracula', 'BHL 0149b | Miracula. Alia recensio solius libri I', 'BHL 0149g | Laudation auct. Dodone mon.', 'BHL Agilus02 |']",['Agilus (80)'],
Agnellus01,Agnellus ab. Neapoli,homme,ecclésiastique,régulier,Agnellus ab. Neapoli,"['BHL 0150 | Miracula auct. Petro subdiac. Neapol.', 'BHL 0151 | Epitome  metrica auct. Petro subdiac. Neapol.', 'BHL 0152 | Epilogus metricus auct. Petro subdiac. Neapol.', 'BHL 0152d | Vita (antiqua ?)', 'BHL Agnellus01 |']",['Agnellus (82)'],
Agnellus02,Agnellus ep. Ravennas,homme,ecclésiastique,séculier,Agnellus ep. Ravennas,"['BHL 0152m | Vita (in Agnelli Lib. pont. eccl. Ravenn.)', 'BHL Agnellus02 |']",['Agnellus (3757)'],
Agnes01,Agnes de Assisio,femme,laïc,régulier,Agnes de Assisio,"['BHL 0153 | Vita (ex Chronica XXIV generalium Ord. Min.)', 'BHL Agnes01 |']",['Agnes (83)'],
Agnes02,Agnes de Bohemia,femme,laïc,régulier,Agnes de Bohemia,"['BHL 0154 | Vita', 'BHL 0154b | Vita et miracula', 'BHL 0154c | Vita et Miracula. II', 'BHL 0154d | Laudatio', 'BHL Agnes02 |']",['Agnes (84)'],
Agnes03,Agnes de Monte Politiano,femme,laïc,régulier,Agnes de Monte Politiano,"['BHL 0154m | Vita auct. Raimundo de Capua', 'BHL 0155 | Vita auct. Raimondo de Capua', 'BHL Agnes03 |']",['Agnes (85)'],
Agnes04,Agnes m. Romae,femme,laïc,séculier,Agnes v. m. Romae,"['BHL 0156 | Passio auct. Ps.-Ambrosio. a.', 'BHL 0156a | Passio auct. Ps.-Ambrosio. a. Om. clausula', 'BHL 0156b | Passio auct. Ps.-Ambrosio. a. alia clausula ""Emendavi pro me...""', 'BHL 0157 | Passio auct. Ps.-Ambrosio. b. Recensio brevior', 'BHL 0158 | Sermones (Ps.-Ambrosio vel Maximo ep. Taurin. adscripti). a. Inc. ""Cum toto"". Des. a', 'BHL 0158a | Sermones (Ps.-Ambrosio vel Maximo ep. Taurin. adscripti). a. Inc. ""Cum toto"". Des. b', 'BHL 0158c | Sermones (Ps.-Ambrosio vel Maximo ep. Taurin. adscripti). b. Inc. ""Immaculatus Dnus""', 'BHL 0159 | Carmen auct. Prudentio', 'BHL 0160 | Carmen auct. Adhelmo', 'BHL 0161 | Passio metrica', 'BHL 0162 | Carmen auct. Flodoardo', 'BHL 0163 | Passio metrica auct. Hrotsuita', 'BHL 0164 | Passio metrica auct. Petro Riga (olim adscripta Hildeberto Cenoman. vel Philippo Harvengio)', 'BHL 0164b | Passio metrica', 'BHL 0164d | Dialogus metricus auctore Gutolfo mon. Sancrucensi', 'BHL 0164e | Carmen de passione', 'BHL 0164f | Passio in Legendario Hermanni Greven', 'BHL 0164m | Miraculum Romanum an. 817', 'BHL 0165 | Translatio (Agnetis et Benigni) Ultraiectum an. 964', 'BHL 0165b | Epitome eiusdem libelli', 'BHL 0166 | Miracula (Agnetis et Burgundofarae) Turonibus anno 1141', 'BHL 0167 | Miracula in coenobio S. Agnetis apud Swollam, auct. Thoma Kempensi', 'BHL 0167c | Miracula', 'BHL Agnes04 |']",['Agnes (86)'],
Agoardus,Agoardus et soc. m. Christolii,homme,indéterminé,séculier,"Agoardus, Aglibertus et soc. m. Christolii in agro Parisiensi","['BHL 0168 | Passio', 'BHL Agoardus |']","['Aglibertus (81)', 'Agoardus (88)']",
Agricola,Agricola ep. Cabillonensis,homme,ecclésiastique,séculier,Agricola ep. Cabillonensis,"['BHL 0169 | Elevatio (Agricolae, Lupi, Silvestri ep. Desiderati presb. Cabillon)', 'BHL Agricola |']",['Agricola (89)'],
Agrippanus,Agrippanus ep. Aniciensis,homme,ecclésiastique,séculier,Agrippanus ep. Aniciensis m.,"['BHL 0170 | Vita', 'BHL 0171 | Vita', 'BHL 0172 | Translatio', 'BHL Agrippanus |']",['Agrippanus (91)'],
Agrippina,Agrippina m. Romana,femme,laïc,séculier,Agrippina v. m. Romana,"['BHL 0173 | Translatio in Siciliam', 'BHL Agrippina |']",['Agrippina (92)'],
Agrippinus,Agrippinus ep. Neapolitanus,homme,ecclésiastique,séculier,Agrippinus ep. Neapolitanus,"['BHL 0174 | Miracula', 'BHL 0175 | Miracula auct., ut videretur, Petro subdiac. Neapol.I', 'BHL 0176 | Miracula auct., ut uideretur, Petro subdiac. Neapol.I', 'BHL 0177 | Miracula auct., ut uideretur, Petro subdiac. Neapol.I', 'BHL Agrippinus |']",['Agrippinus (93)'],
Agritius,Agritius ep. Treverensis,homme,ecclésiastique,séculier,Agritius ep. Treverensis,"['BHL 0178 | Vita', 'BHL 0179 | Vita', 'BHL 0179d | ""Historia adventus S. Agritii Treverim""', 'BHL Agritius |']",['Agritius (94)'],
Aibertus,Aibertus presb. in Hannonia,homme,ecclésiastique,séculier,Aibertus presb. in Hannonia,"['BHL 0180 | Vita auct. Roberto archidiacono Ostrevandiensi', 'BHL Aibertus |']",['Aibertus (95)'],
Aichadrus,Aichadrus ab. Gemmeticensis,homme,ecclésiastique,régulier,Aichadrus ab. Gemmeticensis,"['BHL 0181 | Vita', 'BHL 0182 | Vita auct. Fulberto', 'BHL 0182d | Vita. Alium initium, om. cap. I-IXa', 'BHL 0183 | Vita', 'BHL Aichadrus |']",['Aichadrus (96)'],
Aidus01,Aidus ep. Fernensis,homme,ecclésiastique,séculier,"Aidus (al. Aedus, Aidanus, Edanus, Maedocus, Moedocus, etc.) ep. Fernensis","['BHL 0184 | Vita', 'BHL 0185 | Vita', 'BHL 0186 | Vita', 'BHL 0187 | Epitome', 'BHL Aidus01 |']",['Aidus (97)'],
Aidus02,Aidus ep. Killariensis,homme,ecclésiastique,séculier,Aidus ep. Killariensis,"['BHL 0188 | Vita', 'BHL 0189 | Vita', 'BHL 0189b | Vita', 'BHL Aidus02 |']",['Aidus (98)'],
Aidus03,Aidus ep. Lindisfarnensis,homme,ecclésiastique,séculier,Aidus ep. Lindisfarnensis,"['BHL 0190 | Vita (ex Bedae Hist. eccl. III 3 extr., 5, 6 init., 15-17)', 'BHL 0191 | Vita (ex eodem, l.c., 3,5,6,14 med., 15,16,17 init.)', 'BHL 0191a | Vita', 'BHL 0192 | Epitome', 'BHL Aidus03 |']",['Aidus (99)'],
Aigulfus,Aigulfus Lerinensis et soc.,homme,ecclésiastique,régulier,Aigulfus ab. Lerinensis et soc. m.,"['BHL 0193 | Vita', 'BHL 0194 | Vita auct. Adrevaldo Floriacensi', 'BHL 0195 | Inventio saec. XI in.', 'BHL 0196 | Miracula', 'BHL Aigulfus |']",['Aigulfus (100)'],
Ailbeus,Ailbeus ep. Imlacensis,homme,ecclésiastique,séculier,Ailbeus ep. Imlacensis,"['BHL 0197 | Vita', 'BHL 0198 | Vita', 'BHL 0199 | Vita', 'BHL Ailbeus |']",['Ailbeus (101)'],
Airaldus,Airaldus ep. Maurianensis,homme,ecclésiastique,séculier,Airaldus ep. Maurianensis,"['BHL 0199b | Vita (antiqua?)', 'BHL Airaldus |']",['Airaldus (3336)'],
Albanus01,Albanus Moguntiae cultus,homme,ecclésiastique,séculier,Albanus m. Moguntiae cultus,"['BHL 0200 | Passio auct. Goswino seu Gozechino canon. Moguntino (perperam adscripta Sigehardo)', 'BHL 0200b | Passio et miracula', 'BHL 0200c | Passio', 'BHL Albanus01 |']",['Albanus (102)'],
Albanus02,Albanus rex Ungariae,homme,laïc,séculier,Albanus rex Ungariae ficticius m.,"['BHL 0201 | Passio (adscripta Transamundo mon. Claravallensi)', 'BHL 0201b | Prologus, inc. ""Albani m. paenitentiam tuo, carissime, rogatu conscriptam...""', 'BHL 0201c | Prologus, inc. ""Bb. praeclarissimi m. Albani vita ac passionem scripturus""', 'BHL 0202 | Passio', 'BHL 0203 | Epitomae metricae', 'BHL 0204 | Epitomae metricae', 'BHL 0205 | Epitomae metricae', 'BHL 0205d | Epitomae metricae. d', 'BHL Albanus02 |']",['Albanus (103)'],
Albanus03,Albanus et soc. m. Verulamii,homme,ecclésiastique,séculier,"Albanus, Amphibalus et soc. m. Verulamii","['BHL 0206 | Passio', 'BHL 0207 | Passio', 'BHL 0208 | Passio', 'BHL 0209 | Passio', 'BHL 0210 | Passio', 'BHL 0210b | Alia initia eiusdem passionis. e', 'BHL 0210c | Alia initia eiusdem passionis. z', 'BHL 0210d | Passio', 'BHL 0211 | Passio', 'BHL 0211a | (Epitome)', 'BHL 0212 | Passio metrica auct. Radulpho de Dunstaplia, libris 2', 'BHL 0213 | Passio interprete Guilelmo mon.', 'BHL 0214 | Tractatus de nobilitate, vita et martyrio ss. Albani et Amphibali', 'BHL 0215 | Inventio et translatio', 'BHL 0216 | Inventio et translatio', 'BHL 0216d | Translatio', 'BHL 0216e | Translatio', 'BHL 0216f | De raptu et restitutione corporis', 'BHL 0217 | Miracula', 'BHL Albanus03 |']","['Albanus (104)', 'Amphibalus (199)']",
Albanus04,Albanus ep. Altinensis,homme,ecclésiastique,séculier,Albanus ep. Altinensis m.,"['BHL 0199m | Epitome brevissima', 'BHL Albanus04 |']",['Albanus (3758)'],
Albartus,Albartus archiep. Casellensis,homme,ecclésiastique,séculier,"Albartus seu Albertus, frater S. Erhardi (archiep. Casellensis ?)","['BHL 0218 | Vita', 'BHL Albartus |']",['Albartus (105)'],
Albericus,Albericus Camaldulensis,homme,ecclésiastique,régulier,Albericus presb. erem. Camaldulensis apud Balneum in Etruria,"['BHL 0219 | Vita auct. Petro Marcello ep. Patavino', 'BHL Albericus |']",['Albericus (106)'],
Albertus01,Albertus mon. Altahensis,homme,ecclésiastique,régulier,Albertus mon. Altahensis,"['BHL 0220 | Vita auct. Alberto priore Altah', 'BHL Albertus01 |']",['Albertus (107)'],
Albertus02,Albertus ab. Gambrunensis,homme,ecclésiastique,régulier,Albertus ab. Gambrunensis in Gallia,"['BHL 0221 | Vita', 'BHL 0221b | Prologus inc. ""Sol iustitiae Christus spiculo suae divinitatis nullo obstaculo obviante""', 'BHL Albertus02 |']",['Albertus (108)'],
Albertus03,Albertus patriarcha Hierosolymitanus,homme,ecclésiastique,régulier,Albertus patriarcha Hierosolymitanus Ord. Carm.,"['BHL 0222 | Vita', 'BHL Albertus03 |']",['Albertus (109)'],
Albertus04,Albertus ep. Leodiensis,homme,ecclésiastique,séculier,Albertus ep. Leodiensis,"['BHL 0223 | Vita (auct. Werrico ab. Laubiensi ?)', 'BHL Albertus04 |']",['Albertus (110)'],
Albertus05,Albertus Magnus,homme,ecclésiastique,régulier,Albertus Magnus Ord. Praed. ep. Ratisponensis,"['BHL 0224 | Vita auct. Ludovico Vallisoletensi', 'BHL 0224a | Vita (interdum ""Legenda Coloniensis"" nuncupata)', 'BHL 0225 | Vita auct. Petro de Prussia (a quibusdam adscripta Rudolfo de Novimagio)', 'BHL 0226 | Vita auct. Rudolfo de Novimagio (epitome Vitae 2)', 'BHL 0226d | Narrationes. I (auct. Hermanno de Lübeck)', 'BHL 0226e | Narrationes. II', 'BHL 0226f | Narrationes. III', 'BHL 0226g | Narrationes. IV', 'BHL 0227 | Vita metrica (auct. Iacobo Magdalio Goudano)', 'BHL 0227a | Translatio an. 1483', 'BHL Albertus05 |']",['Albertus (111)'],
Albertus06,Albertus Ord. Carm. Messanae,homme,ecclésiastique,régulier,Albertus conf. Ord. Carm. Messanae in Sicilia,"['BHL 0228 | Vita et miraculo', 'BHL 0229 | 1. Vita et miracula. b. (auct. Theodorico de Aquis)', 'BHL 0229a | Auct. Iohanne Maria de Poluciis (=Politiano)', 'BHL 0229d | Vita et miracula', 'BHL 0230 | 1. Vita et miracula. c. (auct. Iohanne Maria de Poluciis)', 'BHL Albertus06 |']",['Albertus (112)'],1457
Albertus07,Albertus ep. Montis Corvini,homme,ecclésiastique,séculier,Albertus ep. Montis Corvini in Apulia,"['BHL 0231 | Vita auct. Alexandro ep. Vulturariensi', 'BHL Albertus07 |']",['Albertus (113)'],
Albertus08,Albertus Camaldulensis,homme,ecclésiastique,régulier,Albertus erem. in territorio Senensi ord. Camald.,"['BHL 0232 | Vita', 'BHL Albertus08 |']",['Albertus (114)'],
Albertus09,Albertus ep. Cumanus,homme,ecclésiastique,séculier,Albertus ep. Cumanus,"['BHL 0220m | Narratio', 'BHL Albertus09 |']",['Albertus (3347)'],
Albertus10,Albertus ep. Germania,homme,ecclésiastique,séculier,Albertus ep. Germania,"['BHL 0221m | De novem responsionibus seu "" Notabile Extractum de Vita""', 'BHL Albertus10 |']",['Albertus (3348)'],
Albertus11,Albertus ep. Laudensis,homme,ecclésiastique,séculier,Albertus ep. Laudensis,"['BHL 0222m | Lectiones', 'BHL Albertus11 |']",['Albertus (3349)'],
Albina,Albina m. Caesareae Palestinae,femme,laïc,séculier,Albina v. m. Caesareae Palestinae,"['BHL 0233 | Passio', 'BHL 0233a | Appendix de translatione Caietam', 'BHL Albina |']",['Albina (115)'],
Albinus01,Albinus ep. Andegavensis,homme,ecclésiastique,séculier,Albinus ep. Andegavensis,"['BHL 0234 | Vita auct. Fortunato', 'BHL 0234b | Sermo seu laudatio in translatione', 'BHL 0235 | Miracula', 'BHL 0236 | Miracula', 'BHL 0236b | Miracula', 'BHL 0236c | Miraculum', 'BHL 0237 | Translatio an. 1128', 'BHL 0237b | Vitae epitome auct. Augustino de novis', 'BHL Albinus01 |']",['Albinus (116)'],
Albinus02,Albinus Coloniae cultus,homme,laïc,séculier,Albinus m. Coloniae cultus,"['BHL 0238 | Translatio Roma Coloniam cca 984', 'BHL 0239 | Recognitio reliquiarum an. 1186', 'BHL 0240 | Recognitio reliquiarum an. 1186. Epitome', 'BHL 0240b | Translatio et miracula', 'BHL Albinus02 |']",['Albinus (117)'],
Albuinus,Albuinus ep. Brixinensis,homme,ecclésiastique,séculier,Albuinus ep. Brixinensis,"['BHL 0241 | Memoria', 'BHL Albuinus |']",['Albuinus (118)'],
Alchmundus,Alchmundus ep. Hagulstadensis,homme,ecclésiastique,séculier,Alchmundus ep. Hagulstadensis,['BHL Alchmundus |'],['Alchmundus (120)'],
Alcuinus,Alcuinus ab. Turonensis,homme,ecclésiastique,régulier,Alcuinus ab. s. Martini Turonensis,"['BHL 0242 | Vita', 'BHL Alcuinus |']",['Alcuinus (121)'],
Aldebrandus,Aldebrandus ep. Forosemproniensis,homme,ecclésiastique,séculier,Aldebrandus ep. Forosemproniensis in Umbria,"['BHL 0243 | Vita', 'BHL Aldebrandus |']",['Aldebrandus (122)'],
Aldegundis,Aldegundis abb. Malbodiensis,femme,laïc,régulier,Aldegundis abb. Malbodiensis in Belgio,"['BHL 0244 | Vita', 'BHL 0245 | Vita', 'BHL 0246 | Vita', 'BHL 0247 | Vita auct. Hucbaldo Elnonensi', 'BHL 0247b | Vita', 'BHL 0248 | Vita', 'BHL 0249 | Translatio an. 1161, auct. Hadriano praeposito', 'BHL 0250 | Translatio an. 1439', 'BHL Aldegundis |']",['Aldegundis (123)'],
Aldemarius,Aldemarius mon. Casinensis,homme,ecclésiastique,régulier,Aldemarius mon. Casinensis,"['BHL 0251 | Vita auct. Petro diac. Casinensi', 'BHL 0252 | Vita auct. Petro diac. Casinensi', 'BHL Aldemarius |']",['Aldemarius (124)'],
Aldetrudis,Aldetrudis abb. Malbodiensis,femme,laïc,régulier,Aldetrudis abb. Malbodiensis,"['BHL 0253 | Vita', 'BHL 0254 | Vita', 'BHL 0255 | Nota de Genealogia', 'BHL Aldetrudis |']",['Aldetrudis (125)'],
Aldhelmus,Aldhelmus ep. Shireburnensis,homme,ecclésiastique,séculier,Aldhelmus ep. Shireburnensis,"['BHL 0256 | Vita auct. Faritio mon. Malmesbiriensi', 'BHL 0257 | Vita auct. Willelmo Malmesbiriensi', 'BHL 0258 | Eiusdem epitome', 'BHL 0259 | Vita', 'BHL 0259d | Vita in Legendario Hermanni Greven.', 'BHL Aldhelmus |']",['Aldhelmus (126)'],
Aldricus01,Aldricus ep. Cenomannensis,homme,ecclésiastique,séculier,Aldricus ep. Cenomannensis,"['BHL 0260 | Gesta', 'BHL 0261 | Vita', 'BHL 0262 | Vita metrica', 'BHL Aldricus01 |']",['Aldricus (127)'],
Aldricus02,Aldricus ep. Senonensis,homme,ecclésiastique,séculier,Aldricus ep. Senonensis,"['BHL 0263 | Vita', 'BHL 0263b | Vita', 'BHL Aldricus02 |']",['Aldricus (128)'],
Aleidis,Aleidis monialis in Camera,femme,laïc,régulier,Aleidis Scharembekana monialis O. Cist. in Camera prope Bruxellas,"['BHL 0264 | Vita', 'BHL Aleidis |']",['Aleidis (129)'],
Alena,Alena m. Foresti,femme,laïc,séculier,Alena v. m. Foresti in Brabantia,"['BHL 0265 | Acta', 'BHL Alena |']",['Alena (130)'],
Alexander01,"Alexander p., et soc. m. Romae",homme,indéterminé,séculier,"Alexander p., Eventius, Theodulus, Hermes et Quirinus m. Romae","['BHL 0266 | Passio', 'BHL 0266a | Passio. I. Des. b', 'BHL 0266b | (SS. Alexandri, Eventii et Theoduli)', 'BHL 0266d | Alia initia eiusdem Passionis', 'BHL 0266e | Alia initia eiusdem Passionis. b', 'BHL 0266f | Alia initia eiusdem Passionis. g', 'BHL 0267 | Passio', 'BHL 0268 | Passio', 'BHL 0269 | Passio', 'BHL 0269c | Passio', 'BHL 0269d | Passio. Des. a', 'BHL 0269e | Passio. Des. b', 'BHL 0270 | Carmen auct. Flodoardo', 'BHL 0271 | Translatio (Alexandri et Iustini presb.) Frisingam, an. 834', 'BHL Alexander01 |']","['Alexander (134)', 'Eventius (1093)', 'Hermes (1500)', 'Quirinus (2600)', 'Theodulus (3014)']",
Alexander02,Alexander ep. Alexandrinus,homme,ecclésiastique,séculier,Alexander ep. Alexandrinus,"['BHL 0272 | Vita (ex Cassiodori Historia tripartita, lib. I, c. 12-lib. III, c. 4, multis omissis)', 'BHL Alexander02 |']",['Alexander (135)'],
Alexander03,Alexander ep. m. Baccanis,homme,ecclésiastique,séculier,"Alexander ep. m. Baccanis, Via cassia","['BHL 0273 | Passio auct. Ps.-Crisentiano', 'BHL 0274 | Carmen auct. Flodoardo', 'BHL Alexander03 |']",['Alexander (136)'],
Alexander04,Alexander m. Bergomi,homme,laïc,séculier,Alexander m. Bergomi,"['BHL 0275 | Passio', 'BHL 0276 | Passio', 'BHL 0277 | Passio', 'BHL Alexander04 |']",['Alexander (137)'],
Alexander05,Alexander ep. Faesulanus,homme,ecclésiastique,séculier,Alexander ep. Faesulanus,"['BHL 0277b | Vita', 'BHL 0277d | Vita', 'BHL 0278 | Acta', 'BHL 0278a | Vita', 'BHL Alexander05 |']",['Alexander (138)'],
Alexander06,Alexander ep. Hierosolymitanus,homme,ecclésiastique,séculier,Alexander ep. Hierosolymitanus m.,['BHL Alexander06 |'],['Alexander (139)'],
Alexander07,Alexander m. Lugduni,homme,laïc,séculier,Alexander m. Lugduni,"['BHL 0279 | Passio', 'BHL Alexander07 |']",['Alexander (140)'],
Alexander08,Alexander m. Pydnae,homme,laïc,séculier,Alexander m. Pydnae in Macedonia,"['BHL 0280 | Passio', 'BHL Alexander08 |']",['Alexander (141)'],
Alexander09,Alexander filius S. Felicitatis,homme,laïc,séculier,Alexander m. unus ex septem fratribus filiis S. Felicitatis,"['BHL 0281 | Translatio in monasterium Ottenburanum tempore Caroli Magni', 'BHL 0282 | Miracula per Pallium S. Alexandri in eodem monasterio', 'BHL 0283 | Translatio Wildeshusam an. 851, auct. Ruodolfo et Meginharto', 'BHL 0284 | Translatio ad Novi-Operis monasterium an. 1124', 'BHL Alexander09 |']",['Alexander (142)'],
Alexander10,Alexander ep. Constantinopolitanus,homme,ecclésiastique,séculier,Alexander ep. Constantinopolitanus,['BHL Alexander10 |'],['Alexander (3350)'],
Alexander11,Alexander m. sub Maximiano,homme,ecclésiastique,séculier,Alexander m. sub Maximiano,"['BHL 0284d | Passio auct. Adamo Parisiensi', 'BHL Alexander11 |']",['Alexander (3759)'],
Alexius01,Alexius Falconerius.,homme,ecclésiastique,régulier,Alexius Falconerius ex septem fundatoribus Ord. Serv. B. V. M.,"['BHL 0285 | Vita auct. Petro Tudertino', 'BHL Alexius01 |']",['Alexius (143)'],
Alferius,Alferius ab. Cavensis,homme,ecclésiastique,régulier,Alferius ab. Cavensis,"['BHL 0302 | Vita', 'BHL Alferius |']",['Alferius (145)'],
Allucius,Allucius conf. in Etruria,homme,laïc,séculier,Allucius conf. in Etruria,"['BHL 0303 | Vita', 'BHL 0304 | Inventio an. 1344', 'BHL Allucius |']",['Allucius (146)'],
Alexius02,Alexius conf. Edessae,homme,laïc,séculier,Alexius conf. Edessae et Romae,"['BHL 0286 | Vita', 'BHL 0287 | Vita', 'BHL 0288 | Vita', 'BHL 0289 | Vita', 'BHL 0290 | Vita', 'BHL 0290a | Vita', 'BHL 0290b | Alia initia eiusdem Passionis', 'BHL 0290c | Alia initia eiusdem Vitae, scil. 1a - 1e. b', 'BHL 0290d | Alia initia eiusdem Vitae, scil. 1a - 1e. g', 'BHL 0290e | Alia initia eiusdem Vitae, scil. 1a - 1e. d', 'BHL 0290f | Alia initia eiusdem Vitae, scil. 1a - 1e. e', 'BHL 0290g | Alia initia eiusdem Vitae, scil. 1a - 1e. z', 'BHL 0291 | Vita', 'BHL 0291a | Prologus, inc. ""B. A. pauper Christi paupertatem secutus est""', 'BHL 0291ak | Vita ex Gestis Romanorum, c. 15', 'BHL 0291b | Vita ex Actis capitulorum generalium Ord. Praed.', 'BHL 0291c | Vita ex Actis capitulorum generalium Ord. Praed.', 'BHL 0292 | Vita', 'BHL 0292a | Vita om. prol., inc. ""B. A. altissimi Scipionum et Aniciorum prosapia oriundus""', 'BHL 0292d | Vita auct. Iohanne Garzone', 'BHL 0293 | Vita metrica (adscripta Marbodo ep.)', 'BHL 0294 | Vita metrica', 'BHL 0295 | Vita metrica', 'BHL 0296 | Vita rhythmica (adscripta Leoni IX papae)', 'BHL 0297 | Vita rhythmica', 'BHL 0297b | Vita rythmica', 'BHL 0297f | Vita rythmica', 'BHL 0297h | Laudes auct. Ioseph Bripio', 'BHL 0298 | Homilia auct. Adalberto ep. Pragensi', 'BHL 0299 | Miracula saec. XI in.', 'BHL 0300 | Miracula saec. XI in.', 'BHL 0301 | Inventio (Alexii et Bonifatii M.) an. 1217', 'BHL 0301a | Inventio Alexii et Bonifatii m. an. 1217, Dedicatio ecclesiae, Repositio reliquiarum, alia auct. Angelo ab. SS. Bonifatii et Alexii', 'BHL Alexius02 |']",['Alexius (144)'],
