Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Adegrinus,Adegrinus mon. Balmensis,homme,ecclésiastique,régulier,Adegrinus mon. Balmensis,"['BHL 0070 | Vita', 'BHL Adegrinus |']",['Adegrinus (45)'],
Adelelmus,Adelelmus ab. Burgis,homme,ecclésiastique,régulier,Adelelmus ab. Burgis in Hispania,"['BHL 0071 | Vita auct. Rodulfo mon. Casae Dei, libris 2', 'BHL 0072 | Vita brevior, Rodulfo adscripta', 'BHL Adelelmus |']",['Adelelmus (46)'],
Adelphius,Adelphius ab. Habendensis,homme,ecclésiastique,régulier,Adelphius ab. Habendensis,"['BHL 0073 | Vita', 'BHL 0074 | Vita', 'BHL 0075 | Translationes et miracula (SS. Romarici, Amati et Adelphii)', 'BHL Adelphius |']",['Adelphius (47)'],1049
Adelphus,Adelphus ep. Mettensis,homme,ecclésiastique,séculier,Adelphus ep. Mettensis,"['BHL 0075v | Vita auct. Werinhario', 'BHL 0076 | Vita, translatio et miracula', 'BHL Adelphus |']",['Adelphus (48)'],
Ademarus,Ademarus de Felsinio,homme,ecclésiastique,régulier,Ademarus de Felsinio,"['BHL 0077 | Vita (in Chronica XXIV Generalium Ord. Min.)', 'BHL 0077a | (Recensio alia secundum Iohannem Ivionis, Marianum de Florentia et Marcum Ulyssipon)', 'BHL Ademarus |']",['Ademarus (49)'],
Aderaldus,Aderaldus archidiac. Trecis,homme,ecclésiastique,séculier,Aderaldus archidiac. Trecis,"['BHL 0078 | Vita', 'BHL Aderaldus |']",['Aderaldus (50)'],
Aderitus,Aderitus ep. Ravennas,homme,ecclésiastique,séculier,Aderitus ep. Ravennas,"['BHL 0079 | Vita (in Agnelli Lib. pont. eccl. Ravenn., episc. I)', 'BHL 0080 | Sermo de vita', 'BHL Aderitus |']",['Aderitus (51)'],
Adiutor,Adiutor mon. Tironensis,homme,ecclésiastique,régulier,Adiutor mon. Tironensis in Normannia,"['BHL 0081 | Vita auct. Hugeno ep. Rotomagensi', 'BHL Adiutor |']",['Adiutor (52)'],
Ado,Ado archiep. Viennensis,homme,ecclésiastique,séculier,Ado archiep. Viennensis,"['BHL 0082 | Vita (Antiqua?)', 'BHL 0083 | Vita (Antiqua?)', 'BHL Ado |']",['Ado (54)'],
Adulfus,Adulfus et soc. m. Cordubae,homme,laïc,séculier,Adulfus et Iohannes m. Cordubae,"['BHL 0084 | Passio (Antiqua?)', 'BHL Adulfus |']","['Adulfus (55)', 'Iohannes (1618)']",
